ID;Title;Price;Postage;Sell_Date;Location;Condition;Product_Type;Product_Line;Brand;Screen_Size;Screen_Resolution;Storage_Type;Storage_Capacity;Model;Operating_System;Operating_System_Edition;RAM_Memory;Processor;Processor_Speed;Seller;Seller_Notes;URL
1453;"Microsoft Surface Pro 7 12.3"" 512GB SSD, Intel Core i7 10th Gen., 3.90 GHz, 16GB";1450.00;43.74;25-Apr 16:09;London, United Kingdom;New;Convertible 2-in-1 Laptop/Tablet;;Microsoft;12.3 in;;SSD (Solid State Drive);;Microsoft Surface Pro;Windows 10;;16 GB;Intel Core i7 10th Gen.;1.30 GHz;u_mob;;https://www.ebay.co.uk/itm/Microsoft-Surface-Pro-7-12-3-034-512GB-SSD-Intel-Core-i7-10th-Gen-3-90-GHz-16GB-/254543816820?epid=26034639407&hash=item3b43fe6874%3Ag%3AasMAAOSwUGFeNtQB&nma=true&si=voFWQ9dshoWQC2PuY04gFLaXVWI%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1454;ASUS GX701GX-XS76 ROG Zephyrus 17.3 inches i7-8750H RTX 2080 16GB RAM 1TB SSD...;2100.00;;25-Apr 16:09;Peterborough, United Kingdom;Used;;;ASUS;17.3 in;;;;;;;16 GB;;;wo4092;;https://www.ebay.co.uk/itm/ASUS-GX701GX-XS76-ROG-Zephyrus-17-3-inches-i7-8750H-RTX-2080-16GB-RAM-1TB-SSD-/313063518509?hash=item48e40a312d%3Ag%3AYJ0AAOSw58Zeo5I2&nma=true&si=Ovgw%252BvWioEqyeeIiAJgS%252BDXZwNQ%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1455;LENOVO YOGA C940-14IIL 4K TOUCHSCREEN  i7-1065G7 16GB RAM 1TB SSD NORDIC QWERTY;1366.88;42.18;25-Apr 16:09;ESSEX, United Kingdom;Opened - never used;Convertible 2-in-1 Laptop/Tablet;;Lenovo;14 in;;;;Lenovo Yoga C940-14IIL;Windows 10;;16 GB;Intel Core i7-1065G7;;ewix;--NORDIC QWERTY KEYBOARD LAYOUT(CHECK LAST PHOTO)-----HIGH QUALITY LENOVO PRODUCTS IN NEW, UNUSED CONDITION WITH ABSOLUTELY NO SIGNS OF WEAR. THOSE UNITS ARE CANCELLED ORDERS, CUSTOMER CHANGE OF MINE RETURNS OR OPEN BOX LAPTOPS. 12 MONTHS MANUFACTURER WARRANTY, ACTIVE FROM DATE OF PURCHASE. THEY COME IN RETAIL BOX OR IN CASE IT IS DAMAGED IN LENOVO REPLACEMENT BOX.;https://www.ebay.co.uk/itm/LENOVO-YOGA-C940-14IIL-4K-TOUCHSCREEN-i7-1065G7-16GB-RAM-1TB-SSD-NORDIC-QWERTY/353017045073?hash=item523174a051:g:XEUAAOSweaBeMAYk
1456;Dell XPS 15 9570 1080p Core i7-8750H 16GB RAM 512GB PCIe SSD GTX1050Ti;700.00;;25-Apr 16:09;Leyland, United Kingdom;Seller refurbished;Ultrabook;;Dell;15.6 in;3840 x 2160;SSD (Solid State Drive);;Dell XPS 15 9570;Windows 10;;16 GB;Intel Core i7 8th Gen.;2.20 GHz (up to 4.1 GHz);jacnewto_7;;https://www.ebay.co.uk/itm/Dell-XPS-15-9570-1080p-Core-i7-8750H-16GB-RAM-512GB-PCIe-SSD-GTX1050Ti-/193436639191?hash=item2d09b8dfd7%3Ag%3APMsAAOSwX1ZeoxUq&nma=true&si=jF9DFOViFZsIAlSD%252BmMDC0bMVQc%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1457;"Lenovo Thinkpad T480s Laptop 14"" FHD Touch, intel i7-8650U, 16GB RAM, 512GB SSD";919.95;39.95;25-Apr 16:09;Liverpool, United Kingdom;Opened - never used;Notebook/Laptop;;Lenovo;14 in;1920 x 1080;SSD (Solid State Drive);;Lenovo ThinkPad T480s;Windows 10;;16 GB;Intel Core i7 8th Gen.;4.20 GHz;the-tech-saver;New condition in its Lenovo box with 3yr+ Lenovo warranty !;https://www.ebay.co.uk/itm/Lenovo-Thinkpad-T480s-Laptop-14-034-FHD-Touch-intel-i7-8650U-16GB-RAM-512GB-SSD-/333581326881?epid=16037738637&hash=item4daaff1a21%3Ag%3AqlEAAOSwSQheiyo9&nma=true&si=OlqK%252BzWFJu0fSK8rNtZLKAGPlcI%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1458;"HP Envy 15.6"" Intel i7-4702MQ Quad 16GB 2.20GHz 4 Core Gaming Laptop";290.00;20.00;25-Apr 16:09;Jēkabpils, Zemgale, Latvia;Used;Notebook/Laptop;;HP;15.6 in;;HDD (Hard Disk Drive);;HP Envy 15;Windows 7 Ultimate;Home;16 GB;Intel Core i7 4th Gen.;2.20 GHz;kalvansbrothers;Used, but still in good working condition with a few scratches. Comes without charger!;https://www.ebay.co.uk/itm/HP-Envy-15-6-034-Intel-i7-4702MQ-Quad-16GB-2-20GHz-4-Core-Gaming-Laptop-/223985866956?hash=item34269918cc%3Ag%3AbsoAAOSwf05ePrjH&nma=true&si=V3akPtr6luXg68JfC85YQySg%252Ffk%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1459;MSI GL65 9SD-246UK Core i7-9750 16GB 1TB HDD + 256GB SSD 15.6 Inc 9S7-16U512-246;1099.00;;25-Apr 16:09;Bradford, United Kingdom;New;Laptop;;MSI;15.6in;1920 x 1080;HDD + SSD;;;Windows 10;;16 GB;Intel Intel Core i7 9750H;;everythingtechno;;https://www.ebay.co.uk/itm/MSI-GL65-9SD-246UK-Core-i7-9750-16GB-1TB-HDD-256GB-SSD-15-6-Inc-9S7-16U512-246-/383459764138?hash=item5947fba7aa%3Ag%3AMb0AAOSwSa9eatgz&nma=true&si=E944OWI08BZsIvSwmPKhH%252FW%252BIZU%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1460;"Alienware 17 R4, FHD, i7 6820HK 16GB, GTX1070, 240GB SSD, 1TB HDD 17.3""";1099.00;;25-Apr 16:09;London, United Kingdom;Seller refurbished;Notebook/Laptop;;Alienware;17.3 in;;HDD + SSD;;Alienware 17 R4;Windows 10;;16 GB;Intel Core i7 6th Gen.;2.6 -3.5ghz;daisyriverjazz01;;https://www.ebay.co.uk/itm/Alienware-17-R4-FHD-i7-6820HK-16GB-GTX1070-240GB-SSD-1TB-HDD-17-3-034-/293557181585?hash=item44595f1c91%3Ag%3ATJEAAOSwwoleof40&nma=true&si=sVUBn8V4hNLeAtNLXq%252BjqFT39Js%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1461;"HP Elitebook 1040 G4 14"" Business Laptop i7-7820HQ 16gb 512gb WWAN 4G Warranty";1100.00;;25-Apr 16:09;Sutton Coldfield, United Kingdom;Used;Notebook/Laptop;;HP;14 in;1920 x 1080;SSD (Solid State Drive);;HP EliteBook 1040 G4;;;16 GB;;2.90 GHz;ryanwhite241;Excellent condition. Light usage only (see photo's). Warranty Until March 2022.;https://www.ebay.co.uk/itm/HP-Elitebook-1040-G4-14-034-Business-Laptop-i7-7820HQ-16gb-512gb-WWAN-4G-Warranty-/303544752400?hash=item46acad5910%3Ag%3AY40AAOSwq5henEp7&nma=true&si=OoXtC%252BvpP05Lh1bOhPmFIcyIofo%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
1462;Acer Predator Helios 300, i7 9750H, 16GB, 1TB HDD + SSD, RTX 2060, 17.3 Laptop;1199.99;9.99;25-Apr 16:09;Derbyshire, United Kingdom;Seller refurbished;Notebook/Laptop;;ACER;17.3in;;HDD + SSD;;;Windows 10;;;Intel Core i7 9750H;;tabretail;Refurbished item. Fully working. Any signs of use will be very minor. Item may not be in the original retail box. However we do back these up with a 1 year warranty!;https://www.ebay.co.uk/itm/Acer-Predator-Helios-300-i7-9750H-16GB-1TB-HDD-SSD-RTX-2060-17-3-Laptop-/193436355768?epid=25036007883&hash=item2d09b48cb8%3Ag%3AKe8AAOSwvFleosZW&nma=true&si=DBFkH79ObEEyYOQWNaHbi6jSu5c%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557
